Group.1 & ks-noInit-noLS & ks-noInit-shortLS & ks-noInit-LS & ks-noInit-LSnonPerm & ks-mNEH-noLS & ks-mNEH-shortLS & ks-mNEH-LS & ks-mNEH-LSnonPerm & ks-NEH-noLS & ks-NEH-shortLS & ks-NEH-LS & ks-NEH-LSnonPerm & ks-LK-noLS & ks-LK-shortLS & ks-LK-LS & ks-LK-LSnonPerm\
instance_city & 0.84087973230241 & 0.873646414478591 & 0.873004981357291 & 0.779434597143595 & 0.969335405021313 & 0.974958804596592 & 0.980890355365336 & 0.93814761381502 & 0.968055267888922 & 0.976965358547565 & 0.979296601541592 & 0.924620798943857 & 0.922473833469355 & 0.962887046289949 & 0.963087928801547 & 0.852807132641149\
instance_oplib & 0.80466975181216 & 0.837255839944779 & 0.835838775793935 & 0.648686405383738 & 0.966129983277638 & 0.982288663016122 & 0.983382254164489 & 0.918080921675647 & 0.969678828715918 & 0.971245373913611 & 0.985939186912155 & 0.891884544172588 & 0.939667586602479 & 0.966531185125804 & 0.970883601766628 & 0.838769035978104\
size_large & 0.821227734192632 & 0.870301598004277 & 0.85860788088655 & 0.715368988900834 & 0.969796396662547 & 0.971137337320369 & 0.981141175436617 & 0.922000940262088 & 0.968060629129562 & 0.971404568895257 & 0.982795731511591 & 0.902511773064686 & 0.915903025079223 & 0.969626077239072 & 0.960522124828666 & 0.834192739241111\
size_mid & 0.852090753200515 & 0.885227571314215 & 0.888402866138724 & 0.772955248092438 & 0.971281589646751 & 0.981627862181067 & 0.988325288466766 & 0.928774175513604 & 0.975361111364562 & 0.983208214853971 & 0.979233298312963 & 0.91357701285151 & 0.925626974009278 & 0.960074868107006 & 0.957808863731968 & 0.84969135539232\
size_small & 0.830160597117499 & 0.848244329395539 & 0.853546192303758 & 0.775787338895845 & 0.965626414916138 & 0.976132092286637 & 0.975411270738791 & 0.95044436561789 & 0.962469744175675 & 0.973508557908251 & 0.979611545828175 & 0.937261382033301 & 0.93406116940485 & 0.961273119537469 & 0.973850025696242 & 0.864801983627385\
bufType_interBuf & 0.824849238340765 & 0.860335950091923 & 0.858686862594235 & 0.784091985789396 & 0.975310892337752 & 0.978621377551782 & 0.978537102645328 & 0.943715566273891 & 0.972962336416706 & 0.978459245558997 & 0.983041162252824 & 0.936980114180442 & 0.923358816248443 & 0.956235734375405 & 0.955016049659839 & 0.875663253288294\
bufType_spanBuf & 0.843742960631237 & 0.873723942671146 & 0.873808116279127 & 0.72723241149421 & 0.962194309798083 & 0.97396163470305 & 0.984149753103218 & 0.925282682396378 & 0.963738585116409 & 0.973391477123786 & 0.977967526419656 & 0.900357391063175 & 0.927841124556857 & 0.97086349959935 & 0.973994598112376 & 0.824846249571078\
all & 0.834296099486001 & 0.867029946381535 & 0.866247489436681 & 0.755662198641803 & 0.968752601067918 & 0.976291506127416 & 0.981343427874273 & 0.934499124335134 & 0.968350460766558 & 0.975925361341391 & 0.98050434433624 & 0.918668752621808 & 0.92559997040265 & 0.963549616987377 & 0.964505323886108 & 0.850254751429686\
