instance,ks-noInit-noLS,ks-noInit-shortLS,ks-noInit-LS,ks-noInit-LSnonPerm,ks-mNEH-noLS,ks-mNEH-shortLS,ks-mNEH-LS,ks-mNEH-LSnonPerm,ks-NEH-noLS,ks-NEH-shortLS,ks-NEH-LS,ks-NEH-LSnonPerm,ks-LK-noLS,ks-LK-shortLS,ks-LK-LS,ks-LK-LSnonPerm,timeMeasure,instanceSet,bufferType,instanceSize
LGF-gr48-gen4-80.oplib-4037--maxScore-8074-interBuf-189-evaluation,0,0.298525225558468,0.111516750028144,0.111532832628379,0.889962849193455,0.120024445552357,0,0,1,0.174158477942714,0,0,0.790877949146819,0.176731693980282,0.00390807185705784,0,evaluation,oplib,interBuf,small
LGF-gr48-gen4-80.oplib-4037--maxScore-8074-spanBuf-1011-evaluation,0,0.458181913941116,1,0.0989756148944013,0.374111234002211,0,0,0,0.826960551956602,0,0,0,0.386435455838205,0,0,0,evaluation,oplib,spanBuf,small
LGF-hk48-gen4-80.oplib-9169--maxScore-18338-interBuf-479-evaluation,0,0,0.301739926739927,0,0.801112467779134,0.370183828517162,0,0.0263363180029846,0.941408899742232,0.0986467236467236,0.192799484466151,0.0169413919413919,1,0.243437118437118,0.108736942070275,0,evaluation,oplib,interBuf,small
LGF-hk48-gen4-80.oplib-9169--maxScore-18338-spanBuf-2618-evaluation,0,0,0,0,1,0.264308101841913,0,0.0907217380103902,0.660383839251213,0.0626851573569189,0,0,0,0.0579193679962217,0.058863938860504,0,evaluation,oplib,spanBuf,small
LGF-Leipzig-100-80000-1--maxScore-160000-interBuf-2933-evaluation,0,0,0.603099238234373,0,1,0,0,0,0.534435980381927,0,0,0,0,0,0,0,evaluation,Leipzig,interBuf,mid
LGF-Leipzig-100-80000-1--maxScore-160000-spanBuf-14878-evaluation,0,0.454545454545455,0.69452096724824,0,0,0,0,0,0,0,0,0,1,0,0,0,evaluation,Leipzig,spanBuf,mid
LGF-Leipzig-100-80000-2--maxScore-160000-interBuf-3379-evaluation,0,0.549439339605616,0.141047873884761,0.0558934078264895,0.496174640416199,0,0,0,0.531540580199154,0,0,0,1,0,0,0,evaluation,Leipzig,interBuf,mid
LGF-Leipzig-100-80000-2--maxScore-160000-spanBuf-14459-evaluation,0.167866363465385,0.544736437156974,0.325285960982782,0,1,0,0,0,0.578863679108178,0,0,0,0.500316309607263,0,0,0,evaluation,Leipzig,spanBuf,mid
LGF-Leipzig-100-80000-3--maxScore-160000-interBuf-3248-evaluation,0,0,0,0,0.787754420623548,0,0,0,1,0,0,0,0.547573004632785,0,0,0,evaluation,Leipzig,interBuf,mid
LGF-Leipzig-100-80000-3--maxScore-160000-spanBuf-14385-evaluation,0,0,0,0,1,0,0,0,0.756874813858831,0,0,0,0,0,0,0,evaluation,Leipzig,spanBuf,mid
LGF-Leipzig-150-80000-1--maxScore-160000-interBuf-3135-evaluation,0,0,0,0,1,0,0,0,0.909857904085257,0,0,0,0.873268206039075,0,0,0,evaluation,Leipzig,interBuf,large
LGF-Leipzig-150-80000-1--maxScore-160000-spanBuf-16226-evaluation,0,0.452306222707424,0.500221752183406,0,0.365311135371178,0,0,0,0.453414983624454,0,0,0,1,0,0,0,evaluation,Leipzig,spanBuf,large
LGF-Leipzig-150-80000-2--maxScore-160000-interBuf-2685-evaluation,0,0.73652059194677,1,0,0.269473442698176,0,0,0,0.478920500172076,0,0,0,0,0,0,0,evaluation,Leipzig,interBuf,large
LGF-Leipzig-150-80000-2--maxScore-160000-spanBuf-14782-evaluation,0,1,0.777278744326777,0,0.286214069591527,0,0,0,0.616537443267775,0,0,0,0.461563918305597,0,0,0,evaluation,Leipzig,spanBuf,large
LGF-Leipzig-150-80000-3--maxScore-160000-interBuf-3008-evaluation,0,0.414592054677488,1,0.0211533532678342,0.796223835967534,0,0,0,0.676326356258009,0,0,0,0.671695856471591,0,0,0,evaluation,Leipzig,interBuf,large
