Group.1 & ks-noInit-noLS & ks-noInit-shortLS & ks-noInit-LS & ks-noInit-LSnonPerm & ks-mNEH-noLS & ks-mNEH-shortLS & ks-mNEH-LS & ks-mNEH-LSnonPerm & ks-NEH-noLS & ks-NEH-shortLS & ks-NEH-LS & ks-NEH-LSnonPerm & ks-LK-noLS & ks-LK-shortLS & ks-LK-LS & ks-LK-LSnonPerm\
instance_city & 0.0910204204971478 & 0.275587201198298 & 0.222363574888346 & 0.416026887430587 & 0.411746892327553 & 0.10729176129802 & 0.114700470750689 & 0.0553629276511502 & 0.384148374272729 & 0.110285622323681 & 0.0950597136013468 & 0.0676693152509061 & 0.377256963784157 & 0.143329100922732 & 0.119158824316695 & 0.0666462781062022\
instance_oplib & 0 & 0.260227002950138 & 0.421510748799998 & 0.037959406352654 & 0.637943217966135 & 0.297791565810582 & 0.107687681947307 & 0.0763596013720734 & 0.699016545165704 & 0.0850777811006328 & 0.161761555441702 & 0.040020938688628 & 0.647164175623128 & 0.185944533095446 & 0.0277066233860123 & 0\
size_large & 0.0562053999825391 & 0.369917770783842 & 0.389263451353832 & 0.387298026786212 & 0.416417330343094 & 0.0635763987030889 & 0.163598588604123 & 0.0189036903976842 & 0.439728290570832 & 0.132472766202101 & 0.139941992874409 & 0.0618367466517416 & 0.437180319670528 & 0.0690789177399916 & 0.0913524513685566 & 0.0778609366586639\
size_mid & 0.0349899057744051 & 0.251584779118343 & 0.226741974787788 & 0.326384527228134 & 0.372885864614758 & 0.139078614073465 & 0.12053978397816 & 0.0971825409010525 & 0.402646239672551 & 0.0562697332599007 & 0.129936076927673 & 0.0980263469868153 & 0.289134951017146 & 0.174520692247096 & 0.0931169791365861 & 0.0217122174105434\
size_small & 0.125000053581256 & 0.206369973006828 & 0.172068670024859 & 0.330567965132594 & 0.554761821131942 & 0.21297910964635 & 0.0632988241532071 & 0.0611709355147299 & 0.476764400733531 & 0.125531853749347 & 0.0586218222470594 & 0.0323862217251155 & 0.536884394474203 & 0.202313084885168 & 0.120549914713569 & 0.0628276159283985\
bufType_interBuf & 0.0743946182894577 & 0.192256280537868 & 0.249343598578241 & 0.374939627967776 & 0.516561246264425 & 0.102517876395215 & 0.101341247763835 & 0.0658494338753128 & 0.544820751623249 & 0.0752505513376409 & 0.130080327234358 & 0.0915814186441846 & 0.42942287238116 & 0.0922483116346847 & 0.120515947023997 & 0.0369952386984366\
bufType_spanBuf & 0.0745478879786023 & 0.353332595223034 & 0.267800705348142 & 0.319635062865058 & 0.389185747713802 & 0.18133830238721 & 0.125509588718132 & 0.0525115755073232 & 0.337973513610563 & 0.136154205592249 & 0.0842943151830102 & 0.033703256744072 & 0.423239132219508 & 0.209906411000856 & 0.0845463558164174 & 0.0720623072935306\
all & 0.07447125313403 & 0.272794437880451 & 0.258572151963191 & 0.347287345416417 & 0.452873496989114 & 0.141928089391213 & 0.113425418240984 & 0.059180504691318 & 0.441397132616906 & 0.105702378464945 & 0.107187321208684 & 0.0626423376941283 & 0.426331002300334 & 0.151077361317771 & 0.102531151420207 & 0.0545287729959836\
