Group.1 & ks-noInit-noLS & ks-noInit-shortLS & ks-noInit-LS & ks-noInit-LSnonPerm & ks-mNEH-noLS & ks-mNEH-shortLS & ks-mNEH-LS & ks-mNEH-LSnonPerm & ks-NEH-noLS & ks-NEH-shortLS & ks-NEH-LS & ks-NEH-LSnonPerm & ks-LK-noLS & ks-LK-shortLS & ks-LK-LS & ks-LK-LSnonPerm\
instance_city & 0.933755160952121 & 0.959704711410173 & 0.956864134655264 & 0.89208363101965 & 0.944179641310001 & 0.831215587725307 & 0.778565319419445 & 0.78281452496413 & 0.941059074709282 & 0.837599575453513 & 0.782885823980967 & 0.781088846310651 & 0.963360363696392 & 0.813367942433917 & 0.711036817152077 & 0.708858372573043\
instance_oplib & 0.92861670117374 & 0.968973597223902 & 0.967456546450736 & 0.786551223803891 & 0.962374837260157 & 0.819193468950108 & 0.726593674002606 & 0.713399240247634 & 0.966747455860877 & 0.82320522100942 & 0.739062711556346 & 0.704310503468372 & 0.99222523832666 & 0.801367412292752 & 0.666830412216975 & 0.63588936004397\
size_large & 0.929375286991157 & 0.965641693495732 & 0.956062708328807 & 0.884738799399276 & 0.941139722770576 & 0.814853290721633 & 0.75208938878773 & 0.759165303623379 & 0.935088530571123 & 0.822792432939195 & 0.761319178683795 & 0.763433269151468 & 0.965764350284548 & 0.813217604138168 & 0.699733085674267 & 0.705466351238006\
size_mid & 0.932418113277935 & 0.956248374294782 & 0.959748688149265 & 0.865624088252419 & 0.949784434020765 & 0.843540250053591 & 0.792801933530038 & 0.777871943697977 & 0.949917263581805 & 0.847069093470518 & 0.78961810966511 & 0.772076580291193 & 0.959853585281843 & 0.815268990308681 & 0.719806237866279 & 0.710457022131616\
size_small & 0.936188237493686 & 0.962168589968141 & 0.960337604281399 & 0.868896255000925 & 0.951032974385156 & 0.828737458678674 & 0.763288898667007 & 0.773124709886922 & 0.951376576142511 & 0.835072819666616 & 0.773954332430056 & 0.766034037670821 & 0.978757743859622 & 0.805835806481696 & 0.691151136602683 & 0.673943066612913\
bufType_interBuf & 0.927887006412895 & 0.955374048801484 & 0.953093858441629 & 0.885587104494609 & 0.94980589443191 & 0.838617506083397 & 0.779959715899851 & 0.782294411824627 & 0.949502499702277 & 0.846049289556646 & 0.791456040054864 & 0.782144870473911 & 0.963932540031983 & 0.819764529610188 & 0.711689404427164 & 0.7088006726675\
bufType_spanBuf & 0.937754784662844 & 0.967405877951128 & 0.964486196976343 & 0.860204736738961 & 0.945169823079057 & 0.8194419898126 & 0.758272142787461 & 0.758092716388543 & 0.941956879225959 & 0.823915550643436 & 0.758379930661753 & 0.752113424750197 & 0.973284505408172 & 0.802607526115404 & 0.694309173536953 & 0.682381886104378\
all & 0.93282089553787 & 0.961389963376306 & 0.958790027708986 & 0.872895920616785 & 0.947487858755484 & 0.829029747947998 & 0.769115929343656 & 0.770193564106585 & 0.945729689464118 & 0.834982420100041 & 0.774917985358308 & 0.767129147612055 & 0.968608522720077 & 0.811186027862796 & 0.702999288982059 & 0.695591279385939\
