Group.1 & ks-noInit-noLS & ks-noInit-shortLS & ks-noInit-LS & ks-noInit-LSnonPerm & ks-mNEH-noLS & ks-mNEH-shortLS & ks-mNEH-LS & ks-mNEH-LSnonPerm & ks-NEH-noLS & ks-NEH-shortLS & ks-NEH-LS & ks-NEH-LSnonPerm & ks-LK-noLS & ks-LK-shortLS & ks-LK-LS & ks-LK-LSnonPerm\
instance_city & 0.0857209861889362 & 0.154193586273066 & 0.0601206043844276 & 0.207141963554111 & 0.165408702063165 & 0.15102539929524 & 0.215984508891711 & 0.116122917105608 & 0.200067532884958 & 0.166979997423629 & 0.17382003374467 & 0.104227947910741 & 0.102921068557694 & 0.245416623956333 & 0.199650511244631 & 0.100841107828316\
instance_oplib & 0 & 0.0705039297272308 & 0.105289093637119 & 0 & 0.0808679390675043 & 0.314223756526178 & 0.144657596359603 & 0.184655351982657 & 0.174950992011203 & 0.0458123795905964 & 0.284164514088053 & 0.0763142995846375 & 0.135642886538154 & 0.295436581888125 & 0.394925155159912 & 0.110997199439888\
size_large & 0.0557421846282118 & 0.121737973342988 & 0.0642474618689283 & 0.147000249060176 & 0.146735363423232 & 0.0903600365905116 & 0.249862600793133 & 0.0257357816786387 & 0.175596289935416 & 0.168093257130125 & 0.184360163682014 & 0.0727569352134137 & 0.075063790965376 & 0.109283211712213 & 0.157110260177849 & 0.156746499432848\
size_mid & 0.035484104831986 & 0.182156549111264 & 0.0956973801012466 & 0.180707105544215 & 0.0826232135833932 & 0.134808802974155 & 0.200734045228663 & 0.181597862848113 & 0.231261100030101 & 0.090627146602697 & 0.279360867689032 & 0.102330049883225 & 0.0714285714285714 & 0.285910225587685 & 0.111281219871471 & 0.0235072239248307\
size_small & 0.113049215647433 & 0.116279826830544 & 0.0479641699596186 & 0.179325482717908 & 0.211914794295078 & 0.299896292058296 & 0.16402187791708 & 0.17218730051804 & 0.181627228776929 & 0.172230830732243 & 0.12742143051987 & 0.119468920631928 & 0.171213030429184 & 0.354111437208401 & 0.411833682837221 & 0.124669084395686\
bufType_interBuf & 0.0711441560719354 & 0.129306002021413 & 0.0953577462197715 & 0.254289894900577 & 0.150867022254543 & 0.16178201204763 & 0.186331211883597 & 0.155657645913221 & 0.264314454020346 & 0.134042593874539 & 0.270465427449737 & 0.15214387512984 & 0.097307528614557 & 0.195963532535319 & 0.304071205814537 & 0.0797393484538692\
bufType_spanBuf & 0.0691265486008693 & 0.148648568144416 & 0.0413083677318805 & 0.0846696818243324 & 0.149208286237002 & 0.199613643717736 & 0.219700746797241 & 0.101509073707831 & 0.126687324159113 & 0.155856449033434 & 0.117299905619015 & 0.0461616031185138 & 0.120433451402816 & 0.313058790988907 & 0.166238778098463 & 0.125635991425153\
all & 0.0701353523364023 & 0.138977285082914 & 0.068333056975826 & 0.169479788362455 & 0.150037654245773 & 0.180697827882683 & 0.203015979340419 & 0.128583359810526 & 0.19550088908973 & 0.144949521453986 & 0.193882666534376 & 0.0991527391241769 & 0.108870490008686 & 0.254511161762113 & 0.2351549919565 & 0.102687669939511\
