Group.1 & ks-noInit-noLS & ks-noInit-shortLS & ks-noInit-LS & ks-noInit-LSnonPerm & ks-mNEH-noLS & ks-mNEH-shortLS & ks-mNEH-LS & ks-mNEH-LSnonPerm & ks-NEH-noLS & ks-NEH-shortLS & ks-NEH-LS & ks-NEH-LSnonPerm & ks-LK-noLS & ks-LK-shortLS & ks-LK-LS & ks-LK-LSnonPerm\
instance_city & 0.0874433314363176 & 0.275708838520472 & 0.220481838631102 & 0.429674567363363 & 0.398199714977305 & 0.105206552637705 & 0.0978607983583655 & 0.0508427437149709 & 0.360252302907449 & 0.0971636115819316 & 0.0804061903692508 & 0.062548561288182 & 0.390585476710055 & 0.113611832939573 & 0.115421612877047 & 0.0621786715416273\
instance_oplib & 0 & 0.263486661531206 & 0.433082626690188 & 0.0506175760074015 & 0.610615382370904 & 0.220832128557337 & 0.0653358101890434 & 0.0509822172930318 & 0.674540429294133 & 0.058477201456165 & 0.124799559712772 & 0.0293647977288857 & 0.650244266675322 & 0.125007764615977 & 0.00480630851802312 & 0\
size_large & 0.038809631738484 & 0.359072174763312 & 0.384335094966912 & 0.397453903277668 & 0.362791651129843 & 0.052923539977304 & 0.125385028367991 & 0.0145028055873647 & 0.361279370454626 & 0.109565826405348 & 0.109507881418821 & 0.0498723881552599 & 0.426526024186407 & 0.0552172213326641 & 0.0808939064789352 & 0.0662708226549603\
size_mid & 0.0394207608202884 & 0.253435449640907 & 0.238959246299379 & 0.35229629586414 & 0.370445974194351 & 0.12670513484419 & 0.0834756643309317 & 0.0873545247832188 & 0.398124155519824 & 0.0514880093976971 & 0.109416281024475 & 0.0914700199236774 & 0.306820019417223 & 0.159590184911276 & 0.0872022940132256 & 0.0206542926059072\
size_small & 0.128295902242789 & 0.216144046082972 & 0.167242901657068 & 0.336045140322186 & 0.559674127725719 & 0.189955717244698 & 0.070101595289287 & 0.0507621179309399 & 0.483359810961183 & 0.106934620459765 & 0.0517550660493164 & 0.0317420546937822 & 0.562261667782108 & 0.130174025958579 & 0.115017607801726 & 0.0638425351154023\
bufType_interBuf & 0.0648629041608252 & 0.192417054486197 & 0.255170920070137 & 0.391985148380772 & 0.490679503269767 & 0.0849497189522055 & 0.0731177024853602 & 0.0608403758102798 & 0.498297677652458 & 0.0610381818595184 & 0.101406144415623 & 0.084042287819784 & 0.43709128527144 & 0.0764149800350684 & 0.107717986232916 & 0.0350002287452118\
bufType_spanBuf & 0.0782261836440581 & 0.35455619455865 & 0.263102134668098 & 0.329525080398332 & 0.382961987555244 & 0.167509050293981 & 0.110776625806163 & 0.0408958292844115 & 0.33649351957578 & 0.119221255804066 & 0.0755492797205228 & 0.0289880116441086 & 0.438501046317857 & 0.154952660999133 & 0.0829014924815325 & 0.0667466883229056\
all & 0.0715445439024417 & 0.273486624522423 & 0.259136527369118 & 0.360755114389552 & 0.436820745412505 & 0.126229384623093 & 0.0919471641457615 & 0.0508681025473456 & 0.417395598614119 & 0.0901297188317922 & 0.0884777120680729 & 0.0565151497319463 & 0.437796165794649 & 0.115683820517101 & 0.0953097393572242 & 0.0508734585340587\
