Group.1 & ks-noInit-noLS & ks-noInit-shortLS & ks-noInit-LS & ks-noInit-LSnonPerm & ks-mNEH-noLS & ks-mNEH-shortLS & ks-mNEH-LS & ks-mNEH-LSnonPerm & ks-NEH-noLS & ks-NEH-shortLS & ks-NEH-LS & ks-NEH-LSnonPerm & ks-LK-noLS & ks-LK-shortLS & ks-LK-LS & ks-LK-LSnonPerm\
instance_city & 0.929732725792494 & 0.955563319263502 & 0.952933698281999 & 0.895817966330305 & 0.940038031030863 & 0.806318646898165 & 0.762304158831209 & 0.772420710113901 & 0.936677802022648 & 0.814122984699995 & 0.766589009137547 & 0.77061622368684 & 0.95986854004994 & 0.777795779654554 & 0.684904028648737 & 0.6907604169947\
instance_oplib & 0.928243770693761 & 0.968737873965493 & 0.967384870947907 & 0.79597368223923 & 0.963495361980274 & 0.783554817773141 & 0.699174738222446 & 0.697784890920066 & 0.967935613627216 & 0.788795757203008 & 0.710568388011721 & 0.690249451460593 & 0.992425341160689 & 0.754570576421912 & 0.625411888968004 & 0.610952236912256\
size_large & 0.9218832237864 & 0.958191631056964 & 0.94912078791777 & 0.8908158410798 & 0.933346415749532 & 0.784640947388622 & 0.733219078944928 & 0.745943794436121 & 0.926743501422391 & 0.790389817030809 & 0.742194046550748 & 0.751760121144605 & 0.95862605505634 & 0.773416146377685 & 0.672823239962963 & 0.689646012706071\
size_mid & 0.929791147085435 & 0.953619898419054 & 0.957324719768951 & 0.871666602135995 & 0.946267623648033 & 0.820482420057401 & 0.776489899143765 & 0.77005995345698 & 0.945707091641815 & 0.826255052065861 & 0.77343245797389 & 0.76143776602944 & 0.957682542046708 & 0.782460108950278 & 0.696067600180196 & 0.692956884187251\
size_small & 0.935805443867135 & 0.961551317034111 & 0.95965343738257 & 0.87140512754898 & 0.952170966336709 & 0.801511417892172 & 0.743776370653837 & 0.760335763809846 & 0.953098592433385 & 0.811610333716907 & 0.753936273106284 & 0.754963077748397 & 0.979146863227542 & 0.765934069021735 & 0.655960523818396 & 0.649909521912546\
bufType_interBuf & 0.923888628077271 & 0.951506120806014 & 0.949529069764724 & 0.889922562576863 & 0.946161882629073 & 0.812213562092388 & 0.761771685027613 & 0.770462675676643 & 0.945218534492453 & 0.820707673615412 & 0.772236944713718 & 0.769067723942195 & 0.960416990955248 & 0.783665027776323 & 0.680493014314459 & 0.688809934614827\
bufType_spanBuf & 0.935035385289995 & 0.964411264885351 & 0.961593298677786 & 0.865406357686992 & 0.942444117959711 & 0.79214597565848 & 0.739880479686163 & 0.747238446662491 & 0.939503546499959 & 0.798328394876583 & 0.740569938606531 & 0.74294044262194 & 0.971158925912177 & 0.763481003084551 & 0.667681537644567 & 0.663689742980957\
all & 0.929462006683633 & 0.957958692845683 & 0.955561184221255 & 0.877664460131928 & 0.944303000294392 & 0.802179768875434 & 0.750826082356888 & 0.758850561169567 & 0.942361040496206 & 0.809518034245998 & 0.756403441660124 & 0.756004083282068 & 0.965787958433712 & 0.773573015430437 & 0.674087275979513 & 0.676249838797892\
