instance,ks-noInit-noLS,ks-noInit-shortLS,ks-noInit-LS,ks-noInit-LSnonPerm,ks-mNEH-noLS,ks-mNEH-shortLS,ks-mNEH-LS,ks-mNEH-LSnonPerm,ks-NEH-noLS,ks-NEH-shortLS,ks-NEH-LS,ks-NEH-LSnonPerm,ks-LK-noLS,ks-LK-shortLS,ks-LK-LS,ks-LK-LSnonPerm,timeMeasure,instanceSet,bufferType,instanceSize
LGF-Leipzig-100-80000-2--minTime-56-interBuf-3297-bitVector,4,1,1.0077519379845,4,4,1.07751937984496,1.06149870801034,4,4,1.10077519379845,1.08036175710594,4,4,4,4,4,bitVector,Leipzig,interBuf,mid
LGF-Leipzig-100-80000-2--minTime-56-spanBuf-14023-bitVector,1.21906706562986,1.1828450322837,1.18258906315618,1.25407235467852,1.05487648185231,1.16390409251136,1.18472213921883,1.27167802799071,1,1.17753861626932,1.18540472355888,1.22972332565667,1.44521311806076,1.23492227479878,1.19554373861628,1.28956520390758,bitVector,Leipzig,spanBuf,mid
LGF-Leipzig-100-80000-3--minTime-53-interBuf-2948-bitVector,1.79217283873699,1.38130211414161,1.36516369383408,1.55882474938113,1.71364845740524,1.29997273800893,1.32561950306477,1.35180429358717,1.71646229291556,1.37421470836435,1.3305098485473,1.32183749254318,1.79291601114828,1.27706625247677,1.24759316021896,1,bitVector,Leipzig,interBuf,mid
LGF-Leipzig-100-80000-3--minTime-53-spanBuf-14305-bitVector,4,3.5890759428542,3.54650036168795,3,4,3.75268368366308,4,4,4,3.97016023202882,4,3.92589084575089,3.50858129638618,1.91860412654653,1,3.4264647659026,bitVector,Leipzig,spanBuf,mid
LGF-Leipzig-150-80000-1--minTime-86-interBuf-2848-bitVector,1.20084218266851,1,1.01614598978672,1.0337311703337,1.08395914689096,1.01614598978672,1.01614598978672,1.02803959092513,1.01614598978672,1.01614598978672,1.01614598978672,1.02831694108812,1.20772323077999,1.18002474873386,1.09845067276699,1.09256457548349,bitVector,Leipzig,interBuf,large
LGF-Leipzig-150-80000-1--minTime-86-spanBuf-15822-bitVector,1.76060310383765,1.66528965759693,1.67206283327447,1,1.78471317089766,1.82909844765513,1.81721356646533,1.21536781757348,1.81931207150024,1.75017132057115,1.83253184017365,1.40682593300993,1.62123609852305,1.69623695112086,1.7539891398454,1.14120476463829,bitVector,Leipzig,spanBuf,large
LGF-Leipzig-150-80000-2--minTime-85-interBuf-3082-bitVector,1.31889863267794,1.2897755749692,1.32208906393209,1,1.27156982146366,1.35009449176922,1.33770901431661,1.00042942059491,1.37467549751373,1.30560509364757,1.34696184279013,1.00574638749528,1.4631571465011,1.53946705921197,1.09265413054807,1.41018522010911,bitVector,Leipzig,interBuf,large
LGF-Leipzig-150-80000-2--minTime-85-spanBuf-15894-bitVector,3.3583756929892,3.30528033840421,3.3691988075288,2.98712453997371,2.57117508841633,2.17572578363808,3.84458013292374,1,2.83701584276917,2.17366180975742,3.75965414865799,1.08311491865568,3.40184280405896,3.82182796239617,3.84562545333681,3.71425184172624,bitVector,Leipzig,spanBuf,large
LGF-Leipzig-150-80000-3--minTime-77-interBuf-2693-bitVector,1.13950131409012,1.12123618207885,1,1.58639768808589,1.38953902087414,1.09108803850842,1.02185667928664,2.16148309488429,1.40041146805103,1.11519623458678,1.07616882441153,2.21571229041347,1.84452342794262,1.63485454425853,1.13064843533758,1.07964890258384,bitVector,Leipzig,interBuf,large
LGF-Leipzig-150-80000-3--minTime-77-spanBuf-15056-bitVector,4,1.74729561785072,1,3.93563246689883,2.45842914405627,3.44859526311001,3.56368260470753,4,2.44635783918057,3.5059161057659,3.5064851370586,4,2.13543579958792,4,4,4,bitVector,Leipzig,spanBuf,large
