Group.1 & ks-noInit-noLS & ks-noInit-shortLS & ks-noInit-LS & ks-noInit-LSnonPerm & ks-mNEH-noLS & ks-mNEH-shortLS & ks-mNEH-LS & ks-mNEH-LSnonPerm & ks-NEH-noLS & ks-NEH-shortLS & ks-NEH-LS & ks-NEH-LSnonPerm & ks-LK-noLS & ks-LK-shortLS & ks-LK-LS & ks-LK-LSnonPerm\
instance_city & 2.48061475129363 & 2.07452015481003 & 2.04904536591862 & 2.20389143063482 & 1.93729337000614 & 1.817540215218 & 1.88595350518906 & 2.01957586172799 & 1.92887917265944 & 1.84077614989214 & 1.89479679277387 & 2.01805393373086 & 2.21452286449453 & 2.12248779952775 & 1.85808965492071 & 1.90784528231716\
instance_oplib & 2.30192472999006 & 2.27361490346913 & 2.22900648714359 & 1.28777698978834 & 2.22236433719879 & 2.21922258363788 & 2.21531357264322 & 1.36976265582857 & 2.23765147359082 & 2.224274879527 & 2.21682930268584 & 1.24279641876515 & 2.52704400342747 & 2.29460835107079 & 2.31498146177519 & 1.78982528089963\
size_large & 2.05518736075135 & 1.77804439001451 & 1.70059862751053 & 1.77375443081827 & 1.82026856797199 & 1.78412965076202 & 1.89412858383065 & 1.65455269429887 & 1.80213383320212 & 1.78811224408543 & 1.88252312912008 & 1.71647501269739 & 1.7622644158745 & 1.96973982823861 & 1.83336683164369 & 1.82911412808493\
size_mid & 2.41908805138654 & 1.92056712966231 & 1.9334889087409 & 1.90435126472123 & 1.91275340322414 & 1.66927624037353 & 1.80357778821802 & 1.92313080669237 & 1.91540564939544 & 1.7228207438153 & 1.77991994688126 & 1.87608295253366 & 2.42718817961236 & 2.00259218761722 & 1.65555862879794 & 1.66647306664475\
size_small & 2.81735456978505 & 2.56819272033992 & 2.54502872266868 & 2.38430173022545 & 2.20369802631659 & 2.17734662131583 & 2.11555909745442 & 2.09845395343492 & 2.20595682800628 & 2.18181741260768 & 2.16706974358297 & 2.01853134069984 & 2.58042742577543 & 2.44711121059898 & 2.28538267657277 & 2.12892573027497\
bufType_interBuf & 2.45358933721789 & 2.06512195851856 & 2.0390857601255 & 1.98995688520627 & 1.98971461676108 & 1.91438989368424 & 1.8768065710692 & 1.94866025131619 & 1.99441923560884 & 1.92867849283294 & 1.91219004328686 & 1.93597165743253 & 2.29087103034833 & 2.11182564167156 & 1.83108611257909 & 1.77219859802584\
bufType_spanBuf & 2.44266197580444 & 2.15631644152299 & 2.1244453794299 & 2.08469345211919 & 1.98853429313944 & 1.86675685254081 & 2.01486773656498 & 1.85419576090364 & 1.97561994641236 & 1.89232789045493 & 1.99450627313797 & 1.8182243864053 & 2.2518187491618 & 2.19573924885414 & 2.05123567248215 & 2.00057560245666\
all & 2.44812565651116 & 2.11071920002078 & 2.0817655697777 & 2.03732516866273 & 1.98912445495026 & 1.89057337311252 & 1.94583715381709 & 1.90142800610991 & 1.9850195910106 & 1.91050319164393 & 1.95334815821241 & 1.87709802191891 & 2.27134488975507 & 2.15378244526285 & 1.94116089253062 & 1.88638710024125\
