Group.1 & ks-noInit-noLS & ks-noInit-shortLS & ks-noInit-LS & ks-noInit-LSnonPerm & ks-mNEH-noLS & ks-mNEH-shortLS & ks-mNEH-LS & ks-mNEH-LSnonPerm & ks-NEH-noLS & ks-NEH-shortLS & ks-NEH-LS & ks-NEH-LSnonPerm & ks-LK-noLS & ks-LK-shortLS & ks-LK-LS & ks-LK-LSnonPerm\
instance_city & 0.43669294186587 & 0.3963842739531 & 0.342970332187213 & 0.343617431232711 & 0.50663839699146 & 0.491148028498351 & 0.352624648557021 & 0.437402516598708 & 0.525777628234904 & 0.429431543795578 & 0.387814850111254 & 0.399844444771884 & 0.516204732178 & 0.506837263499639 & 0.438980846706901 & 0.420087605751987\
instance_oplib & 0.375 & 0.34071059357781 & 0.316758984568175 & 0.577110792362825 & 0.350487376730099 & 0.323303145655077 & 0.273937273732153 & 0.601141632792126 & 0.351549969934311 & 0.322865588175258 & 0.276278663117058 & 0.598570309327928 & 0.570665907403585 & 0.468694974151849 & 0.246983542368544 & 0.525618193351424\
size_large & 0.339956919712367 & 0.303843401935997 & 0.184836872128302 & 0.243303050318534 & 0.529710882589395 & 0.288317141605914 & 0.143482919399766 & 0.348166123853684 & 0.611658618644368 & 0.294622264411098 & 0.141554893281108 & 0.285627902053634 & 0.626688198460402 & 0.3603136112477 & 0.151563894285483 & 0.220175057566183\
size_mid & 0.282968026202365 & 0.232395613781482 & 0.20873078396351 & 0.308308603931422 & 0.28327901313255 & 0.448610177886841 & 0.199986813613788 & 0.388776215527513 & 0.248381403470274 & 0.287995990732092 & 0.281207488491185 & 0.364664621633674 & 0.137111124096086 & 0.353188762455993 & 0.3292891073216 & 0.381806134491013\
size_small & 0.624999791522817 & 0.593010774430587 & 0.585691040624982 & 0.579034418986301 & 0.603813922839132 & 0.621923232392667 & 0.629838079732515 & 0.639901931784608 & 0.606239629145377 & 0.617862794377388 & 0.640805660258093 & 0.629929197174309 & 0.778469193865367 & 0.75041675295938 & 0.690452299868601 & 0.681272666567635\
bufType_interBuf & 0.534517888197192 & 0.406990348715177 & 0.367694370702802 & 0.393688838147769 & 0.49749014760649 & 0.480658254350267 & 0.340159567465694 & 0.44241978463302 & 0.439153048913834 & 0.445156128835665 & 0.358399840328251 & 0.448131818624812 & 0.518660832990222 & 0.514774879021277 & 0.428222113913171 & 0.477016539301176\
bufType_spanBuf & 0.316434198492414 & 0.3655332245091 & 0.308714894537429 & 0.37845270109224 & 0.459004457190481 & 0.440603299794335 & 0.336476138802942 & 0.491926745362003 & 0.549046695446667 & 0.374955702166284 & 0.376671246441821 & 0.423821021666608 & 0.533552695084173 & 0.485029724578804 & 0.379922377923046 & 0.401533431329865\
all & 0.425476043344803 & 0.386261786612138 & 0.338204632620115 & 0.386070769620005 & 0.478247302398485 & 0.460630777072301 & 0.338317853134318 & 0.467173264997511 & 0.49409987218025 & 0.410055915500975 & 0.367535543385036 & 0.43597642014571 & 0.526106764037198 & 0.499902301800041 & 0.404072245918108 & 0.439274985315521\
