instance,ks-noInit-noLS,ks-noInit-shortLS,ks-noInit-LS,ks-noInit-LSnonPerm,ks-mNEH-noLS,ks-mNEH-shortLS,ks-mNEH-LS,ks-mNEH-LSnonPerm,ks-NEH-noLS,ks-NEH-shortLS,ks-NEH-LS,ks-NEH-LSnonPerm,ks-LK-noLS,ks-LK-shortLS,ks-LK-LS,ks-LK-LSnonPerm,timeMeasure,instanceSet,bufferType,instanceSize
LGF-Leipzig-100-80000-2--minTime-56-interBuf-3297-time,1,0.99571410941862,0.990844537240554,0.496055980068107,0,0.992565564119925,0.987569249652293,0.593163921139613,0,0.992769018847913,0.987465854626594,0.593027172879818,0,0.661958301786733,0.725032602786329,0.527814929574646,time,Leipzig,interBuf,mid
LGF-Leipzig-100-80000-2--minTime-56-spanBuf-14023-time,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,time,Leipzig,spanBuf,mid
LGF-Leipzig-100-80000-3--minTime-53-interBuf-2948-time,0,0,0,0,0,0,0,0,0,0,0,0,0.596769822106146,0.97507761296999,0.289644212289952,1,time,Leipzig,interBuf,mid
LGF-Leipzig-100-80000-3--minTime-53-spanBuf-14305-time,0.0635937287212311,0,0,0,0,0.184661412229334,0,0,0.018214626174588,0.0929924758273185,0,0,0.762397010758546,0.752740705433746,1,0.09164765763312,time,Leipzig,spanBuf,mid
LGF-Leipzig-150-80000-1--minTime-86-interBuf-2848-time,0,0,0,0,0,0,0,0,0,0,0,0,0.621837158538407,1,0,0,time,Leipzig,interBuf,large
LGF-Leipzig-150-80000-1--minTime-86-spanBuf-15822-time,0,0,0,0,0.205429009795821,0.248294582792399,0.014681930839136,0.721539006255163,1,0.253039065266139,0,0.147055352295527,0,0,0,0,time,Leipzig,spanBuf,large
LGF-Leipzig-150-80000-2--minTime-85-interBuf-3082-time,1,0.789680267119457,0.385353976817943,0.650872592458631,0.927965491488414,0.672055272561647,0.345490349740282,0.61573781033045,0.915939087654433,0.714547896300315,0.344519128043859,0.612941361652818,0.518364462663224,0.134577836720888,0.0879926856959138,0.188055312750132,time,Leipzig,interBuf,large
LGF-Leipzig-150-80000-2--minTime-85-spanBuf-15894-time,0,0,0,0,1,0.349234463349772,0.013095453254499,0.833890165500504,0.814629108466087,0.356365701892541,0.0237948929797836,0.791743048204281,0.610880173504428,0,0,0,time,Leipzig,spanBuf,large
LGF-Leipzig-150-80000-3--minTime-77-interBuf-2693-time,0.554981559299381,0.356640151466475,0.429233543655842,0.256362148802104,0.820853198315706,0.432377672402346,0.301647883281717,0.260165944887792,1,0.387353234725917,0.200153351238589,0.104497303502662,0.0852598618125431,0.489897237535928,0.494377835177403,0.623891094919276,time,Leipzig,interBuf,large
LGF-Leipzig-150-80000-3--minTime-77-spanBuf-15056-time,0,0.965609242995959,0.931308645273316,0.582268674658563,0.993745617257154,0.975576852439309,0.943259758907403,0.361385113700872,0.993428390155942,0.975646976324841,0.943176278091295,0.469031956456406,1,0.885828296657428,0.562016228670652,0.263158246235015,time,Leipzig,spanBuf,large
LGF-Leipzig-50-80000-1--minTime-27-interBuf-4238-time,0,0,0,0,1,0.989533324393188,0.977933485315811,0.926719860533727,0.999902775915248,0.990247418532922,0.977517768539627,0.942533860801931,0,0,0,0,time,Leipzig,interBuf,small
LGF-Leipzig-50-80000-1--minTime-27-spanBuf-14659-time,1,0.997806008469208,0.99554866459938,0.996278883665099,0.998816311560135,0.998822980227402,0.998799639891968,0.999023040245407,0.998796305558334,0.998812977226501,0.998819645893768,0.99899636557634,0.999889966990097,0.999896635657364,0.99989330132373,0.999903304324631,time,Leipzig,spanBuf,small
LGF-Leipzig-50-80000-2--minTime-28-interBuf-2280-time,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336687463466425,1,0.529751750629272,time,Leipzig,interBuf,small
LGF-Leipzig-50-80000-2--minTime-28-spanBuf-14815-time,0,0,0,0,0,0.609939113630299,0,0,0,0.446265555133295,0,0,1,0.606288357200036,0.587387707907142,0.698252650133821,time,Leipzig,spanBuf,small
LGF-Leipzig-50-80000-3--minTime-28-interBuf-3949-time,1,0.993062411612456,0.988296154975051,0.986394988926542,0.997708594604691,0.994880193185154,0.990487498999386,0.98566454091843,0.997688582330496,0.994940230007738,0.990564212717133,0.985827974491021,0.966472769965579,0.961249566400726,0.989920484563866,0.986151506257171,time,Leipzig,interBuf,small
LGF-Leipzig-50-80000-3--minTime-28-spanBuf-15011-time,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0400323739187616,0,0,time,Leipzig,spanBuf,small
