Group.1 & ks-noInit-noLS & ks-noInit-shortLS & ks-noInit-LS & ks-noInit-LSnonPerm & ks-mNEH-noLS & ks-mNEH-shortLS & ks-mNEH-LS & ks-mNEH-LSnonPerm & ks-NEH-noLS & ks-NEH-shortLS & ks-NEH-LS & ks-NEH-LSnonPerm & ks-LK-noLS & ks-LK-shortLS & ks-LK-LS & ks-LK-LSnonPerm\
instance_city & 0.437237388209713 & 0.400809233312969 & 0.34861502743089 & 0.344013581052859 & 0.497182919244454 & 0.486403984158211 & 0.354685634143494 & 0.433547622019246 & 0.519394022811565 & 0.424385832042954 & 0.388714516051186 & 0.398746213158403 & 0.511857650630996 & 0.511618561711951 & 0.446907627135198 & 0.414737309910936\
instance_oplib & 0.375 & 0.342283551370825 & 0.322451780832064 & 0.593037623301866 & 0.34115495992361 & 0.321313197456874 & 0.276323337788321 & 0.621866709436432 & 0.342772083283485 & 0.319956914618613 & 0.278014412388856 & 0.610412010049769 & 0.57040406903033 & 0.480209160679336 & 0.249207663712269 & 0.542566737621959\
size_large & 0.342142681106117 & 0.307163780267631 & 0.193286043471763 & 0.25980516644273 & 0.507027815675492 & 0.277754572194946 & 0.144333048208568 & 0.369403642398333 & 0.591953898752058 & 0.28507568996225 & 0.139465399978402 & 0.299297173471538 & 0.626730523968423 & 0.369718330756201 & 0.158938011309898 & 0.237941243366432\
size_mid & 0.282182031433144 & 0.236283840044852 & 0.212664576866102 & 0.302746583058693 & 0.277016363166589 & 0.444710283163612 & 0.20054702873788 & 0.370572747231285 & 0.248673872966915 & 0.281470388342453 & 0.283039573777846 & 0.356104752933945 & 0.133897119530169 & 0.360254002748206 & 0.339604348606498 & 0.364013882175289\
size_small & 0.625 & 0.597445882866171 & 0.590402909339903 & 0.57831658820612 & 0.603200391775006 & 0.622908814645674 & 0.634434278388878 & 0.638936163335604 & 0.604473292713663 & 0.619118760889338 & 0.643923015272878 & 0.628908299026493 & 0.771332560373639 & 0.752520552375202 & 0.693921427983484 & 0.67773158126158\
bufType_interBuf & 0.535364395673396 & 0.414022536817651 & 0.375894543218135 & 0.394614255091279 & 0.480197188905712 & 0.481850353787322 & 0.344826272134727 & 0.43522834941831 & 0.427600907451012 & 0.442792226391613 & 0.360627341423253 & 0.445252770406874 & 0.509942970673127 & 0.521680000181748 & 0.437674694401914 & 0.470329291164452\
bufType_spanBuf & 0.316478603215225 & 0.366313863647507 & 0.311821603789527 & 0.383967104195896 & 0.457431209830162 & 0.430924601183159 & 0.33604961565947 & 0.500346562771886 & 0.546960978343726 & 0.368005285903626 & 0.37654710752918 & 0.429209036597701 & 0.535061937279532 & 0.490135522866658 & 0.384249664078326 & 0.405628756915974\
all & 0.42592149944431 & 0.390168200232579 & 0.343858073503831 & 0.389290679643587 & 0.468814199367937 & 0.456387477485241 & 0.340437943897099 & 0.467787456095098 & 0.487280942897369 & 0.405398756147619 & 0.368587224476217 & 0.437230903502287 & 0.52250245397633 & 0.505907761524203 & 0.41096217924012 & 0.437979024040213\
