Group.1 & ks-noInit-noLS & ks-noInit-shortLS & ks-noInit-LS & ks-noInit-LSnonPerm & ks-mNEH-noLS & ks-mNEH-shortLS & ks-mNEH-LS & ks-mNEH-LSnonPerm & ks-NEH-noLS & ks-NEH-shortLS & ks-NEH-LS & ks-NEH-LSnonPerm & ks-LK-noLS & ks-LK-shortLS & ks-LK-LS & ks-LK-LSnonPerm\
instance_city & 2.16035785290836 & 2.52668005221019 & 2.94014201241854 & 2.97485766300409 & 2.05850105120389 & 2.49498187659353 & 2.88875901215075 & 2.90675031462521 & 2.1127638035991 & 2.58163098729583 & 2.87739011279506 & 2.92591737148536 & 2.04995079557126 & 2.58118094652473 & 2.78670933552567 & 2.90874906530964\
instance_oplib & 1.36750489854015 & 1.85962969850778 & 2.3623655920214 & 2.15583349462479 & 1.47460757438106 & 1.85131623284743 & 2.37932144777835 & 2.1298205872934 & 1.60640769019039 & 1.85282345126692 & 2.3772213736675 & 2.14298860321931 & 1.88400675522252 & 1.95312259992748 & 2.34391077951233 & 2.28281785434639\
size_large & 1.70705822537063 & 2.24793093483436 & 2.64709329199553 & 2.62216671198875 & 1.80545578365828 & 2.54429185474803 & 2.81715957140906 & 2.69494131628875 & 1.798370839606 & 2.51950228047754 & 2.81090895979612 & 2.73321379117801 & 1.71454089331606 & 2.42666142012943 & 2.83497773218435 & 2.848114105057\
size_mid & 2.28130158321116 & 2.09157640049468 & 2.5465364465331 & 2.51417156364744 & 2.00861256736078 & 2.07834384561259 & 2.48671593694147 & 2.44112281225918 & 2.01889172245574 & 2.10664501081333 & 2.45847935167966 & 2.42579288824544 & 2.24252668615691 & 2.28999593886297 & 2.20434111909835 & 2.34032853616685\
size_small & 2.05474278580481 & 2.81777604831391 & 3.25207630273986 & 3.27705049788993 & 2.0316213452576 & 2.49456110094361 & 3.04847743142163 & 3.11104238907399 & 2.21681766138914 & 2.68720256716957 & 3.05202366808132 & 3.14067754295621 & 2.09195853560774 & 2.65714324052603 & 3.03264739981656 & 3.14620701304902\
bufType_interBuf & 2.13037667506767 & 2.36377125523102 & 2.95561896389263 & 2.99752985856332 & 2.11861869676965 & 2.49842454140248 & 3.00760878320388 & 3.0327428289611 & 2.17000686943302 & 2.57899005952624 & 3.00696360968983 & 3.053248022683 & 1.98982331352078 & 2.2816883612622 & 2.67259531327737 & 2.79829261389715\
bufType_spanBuf & 1.90202886552424 & 2.44702508420666 & 2.7145645444364 & 2.65435849712511 & 1.78605850497528 & 2.25747897769509 & 2.58465921768946 & 2.49823789944139 & 1.87139124198019 & 2.3192509928731 & 2.56593707439935 & 2.51388535000916 & 2.0497349902222 & 2.65228867847917 & 2.73980570104184 & 2.79159416728095\
all & 2.01620277029596 & 2.40539816971884 & 2.83509175416451 & 2.82594417784422 & 1.95233860087246 & 2.37795175954878 & 2.79613400044667 & 2.76549036420124 & 2.02069905570661 & 2.44912052619967 & 2.78645034204459 & 2.78356668634608 & 2.01977915187149 & 2.46698851987068 & 2.70620050715961 & 2.79494339058905\
