Group.1 & ks-noInit-noLS & ks-noInit-shortLS & ks-noInit-LS & ks-noInit-LSnonPerm & ks-mNEH-noLS & ks-mNEH-shortLS & ks-mNEH-LS & ks-mNEH-LSnonPerm & ks-NEH-noLS & ks-NEH-shortLS & ks-NEH-LS & ks-NEH-LSnonPerm & ks-LK-noLS & ks-LK-shortLS & ks-LK-LS & ks-LK-LSnonPerm\
instance_city & 0.372314316868383 & 0.424255795707071 & 0.4288589424934 & 0.447877240954613 & 0.42351011052245 & 0.51824377732365 & 0.439612338021624 & 0.565858873391774 & 0.45789944347957 & 0.47674735129509 & 0.492047654425163 & 0.523157443284673 & 0.446685725662222 & 0.490477931358077 & 0.562136502905243 & 0.549928146333175\
instance_oplib & 0.304779734671785 & 0.308024505333711 & 0.341423696771378 & 0.652664041912142 & 0.266958583689554 & 0.300461442526 & 0.300447353986441 & 0.700558427957306 & 0.269814219248234 & 0.295811308889982 & 0.302593836854063 & 0.67425660895451 & 0.473527504793695 & 0.485888171012995 & 0.262822967172423 & 0.618084016400047\
size_large & 0.321526943080389 & 0.384721256127077 & 0.390640699784277 & 0.510157868949463 & 0.386217591103836 & 0.406299972338635 & 0.356702235658999 & 0.67917944254652 & 0.42658309175455 & 0.396750201277893 & 0.365658910023563 & 0.593789715993736 & 0.516445928527941 & 0.398527752268793 & 0.373112746702892 & 0.504887646299095\
size_mid & 0.129270626209834 & 0.201567104755771 & 0.2141761028465 & 0.334247832465545 & 0.178821062821406 & 0.371728916307746 & 0.195570004079853 & 0.41638700353252 & 0.222436543113578 & 0.269149204671191 & 0.308517950842618 & 0.384982512833634 & 0.0542825383202053 & 0.272030386351693 & 0.390606460612833 & 0.4284710706594\
size_small & 0.595649207160809 & 0.595585477235273 & 0.60642976669391 & 0.595200824365819 & 0.591968218335703 & 0.635503942675628 & 0.65611322777038 & 0.664841038790984 & 0.597288676943538 & 0.637925214653495 & 0.668499387625739 & 0.657806851643821 & 0.742419226644719 & 0.759781059769244 & 0.727964308721749 & 0.729691460110984\
bufType_interBuf & 0.423394514629374 & 0.413550980726771 & 0.458311765699919 & 0.49593471260059 & 0.391302162724058 & 0.499677589390691 & 0.446135788822743 & 0.562974077152011 & 0.372675427227584 & 0.464896856460226 & 0.474528175188791 & 0.56880368804649 & 0.45758382155823 & 0.463941419482874 & 0.542841506786298 & 0.597000418133353\
bufType_spanBuf & 0.29667608921772 & 0.39269468691524 & 0.367611484478873 & 0.474287696929556 & 0.398790230381608 & 0.457616388966554 & 0.382483438480439 & 0.617725325837184 & 0.474728832738344 & 0.422802921619005 & 0.440674836362952 & 0.532456349675525 & 0.445548276723114 & 0.515345439471432 & 0.472590213303163 & 0.527639827284588\
all & 0.360035301923547 & 0.403122833821005 & 0.412961625089396 & 0.485111204765073 & 0.395046196552833 & 0.478646989178623 & 0.414309613651591 & 0.590349701494598 & 0.423702129982964 & 0.443849889039616 & 0.457601505775872 & 0.550630018861007 & 0.451566049140672 & 0.489643429477153 & 0.50771586004473 & 0.56232012270897\
