Group.1 & ks-noInit-noLS & ks-noInit-shortLS & ks-noInit-LS & ks-noInit-LSnonPerm & ks-mNEH-noLS & ks-mNEH-shortLS & ks-mNEH-LS & ks-mNEH-LSnonPerm & ks-NEH-noLS & ks-NEH-shortLS & ks-NEH-LS & ks-NEH-LSnonPerm & ks-LK-noLS & ks-LK-shortLS & ks-LK-LS & ks-LK-LSnonPerm\
instance_city & 2.18855785261668 & 2.56565310285029 & 2.98354719612194 & 3.00218324518714 & 2.01391956161292 & 2.45440369018086 & 2.90798997038393 & 2.92138152573377 & 2.03221997520168 & 2.51478682143899 & 2.90041031149851 & 2.94223556003725 & 2.07040650384096 & 2.61675662926944 & 2.82575148176344 & 2.92091082184721\
instance_oplib & 1.37237896261887 & 1.87470276841022 & 2.39871086571599 & 2.0692844563738 & 1.32525994967296 & 1.84801822194496 & 2.39924468963971 & 2.13842810249335 & 1.32927184971955 & 1.84718290470431 & 2.39549413972914 & 2.15318666354828 & 1.87043592895411 & 1.96700467978174 & 2.31685640714929 & 2.30203859288067\
size_large & 1.74682131595024 & 2.30093162749669 & 2.70542856759139 & 2.68203683732972 & 1.77542593305134 & 2.54350738806587 & 2.85138111169533 & 2.72767415513356 & 1.76028832698586 & 2.52685121066548 & 2.85024048731648 & 2.76837165930896 & 1.74886256521176 & 2.49067423017387 & 2.89224573849265 & 2.91385871909164\
size_mid & 2.30974963762599 & 2.14017109065659 & 2.61060234004838 & 2.53053928978376 & 2.01181746552241 & 2.08683582544275 & 2.51730423940241 & 2.44452658713028 & 2.02008331612725 & 2.12403130033284 & 2.48622512981032 & 2.43144594254683 & 2.24800108374083 & 2.31279869204548 & 2.24251251464534 & 2.33167759920809\
size_small & 2.06094506531776 & 2.82410598723414 & 3.26080957994758 & 3.22855041863367 & 1.8801110147135 & 2.39486710205937 & 3.04500009597317 & 3.11664683466679 & 1.92930568133959 & 2.51233960346634 & 3.05426285575028 & 3.14678294023413 & 2.09637690528569 & 2.66816594880519 & 3.02345556604665 & 3.1332243670843\
bufType_interBuf & 2.14591448774305 & 2.39745650715608 & 2.99692690668461 & 2.98235113204772 & 2.0387563400351 & 2.42419287498495 & 3.0201526512653 & 3.05076897714862 & 2.03631080221922 & 2.46224038541062 & 3.02378109207309 & 3.07420993245551 & 1.99361002808035 & 2.31289854381188 & 2.69136891967667 & 2.80195816126304\
bufType_spanBuf & 1.93440889385474 & 2.48259503147538 & 2.75749972904802 & 2.68277943512171 & 1.73866110612166 & 2.26411069874554 & 2.61082900559556 & 2.50728373859513 & 1.77251164800883 & 2.32456819683656 & 2.59343365028054 & 2.52333431616846 & 2.07448640691544 & 2.68434127854966 & 2.77508128944507 & 2.81481903553446\
all & 2.04016169079889 & 2.44002576931573 & 2.87721331786632 & 2.83256528358471 & 1.88870872307838 & 2.34415178686524 & 2.81549082843043 & 2.77902635787187 & 1.90441122511402 & 2.39340429112359 & 2.80860737117681 & 2.79877212431198 & 2.03404821749789 & 2.49861991118077 & 2.73322510456087 & 2.80838859839875\
